epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4767,1.31441,3.13688,1.4981,0.40814,0.48316,0.36112,0.20609,1.49003,2.03598,1.89925,0.067623,0.000162698,0.000162698
2,38.2093,1.21003,1.50359,1.47969,0.86612,0.85701,0.89385,0.60455,1.31701,1.09841,1.69312,0.0344557,0.000328713,0.000328713
3,55.8008,1.03354,0.93596,1.33107,0.932,0.90015,0.94057,0.71085,1.1438,0.86543,1.4519,0.00128772,0.000494067,0.000494067
4,72.8664,0.93661,0.75438,1.22588,0.96737,0.93855,0.96251,0.7851,0.98507,0.70171,1.31042,0.00049703,0.00049703,0.00049703
5,90.5337,0.82967,0.65639,1.14973,0.97358,0.92997,0.97638,0.81912,0.93083,0.64811,1.26147,0.00049604,0.00049604,0.00049604
6,107.898,0.77127,0.59762,1.09744,0.98661,0.95997,0.98638,0.83782,0.82356,0.56194,1.17049,0.00049505,0.00049505,0.00049505
7,125.525,0.70716,0.54872,1.05255,0.97393,0.97432,0.98991,0.85816,0.7666,0.51874,1.1249,0.00049406,0.00049406,0.00049406
8,142.868,0.67786,0.52526,1.04144,0.9897,0.9814,0.99186,0.87479,0.71854,0.47134,1.09684,0.00049307,0.00049307,0.00049307
9,160.425,0.61671,0.46729,1.00006,0.99349,0.98583,0.99276,0.88644,0.67523,0.4227,1.0628,0.00049208,0.00049208,0.00049208
10,177.95,0.60211,0.44836,0.99973,0.99542,0.99025,0.99345,0.9046,0.61484,0.38538,1.02308,0.00049109,0.00049109,0.00049109
11,195.171,0.58882,0.43378,0.98687,0.99593,0.99123,0.99359,0.91026,0.58474,0.35731,1.00038,0.0004901,0.0004901,0.0004901
12,214.76,0.55857,0.40949,0.97705,0.99533,0.99102,0.99372,0.91498,0.55204,0.33634,0.97297,0.00048911,0.00048911,0.00048911
13,232.417,0.55215,0.4019,0.96948,0.9965,0.99618,0.99372,0.92462,0.51103,0.30701,0.95384,0.00048812,0.00048812,0.00048812
14,250.122,0.51236,0.37778,0.94932,0.99584,0.99579,0.99358,0.93096,0.48601,0.29298,0.9382,0.00048713,0.00048713,0.00048713
15,267.463,0.50344,0.36625,0.9375,0.9969,0.99675,0.99313,0.93317,0.4723,0.28203,0.9241,0.00048614,0.00048614,0.00048614
16,285.202,0.47954,0.34618,0.92504,0.99674,0.99689,0.9935,0.93748,0.45328,0.27157,0.91791,0.00048515,0.00048515,0.00048515
17,302.463,0.46482,0.3377,0.92122,0.99696,0.99744,0.99391,0.93867,0.44229,0.26392,0.91031,0.00048416,0.00048416,0.00048416
18,319.963,0.4682,0.34512,0.92755,0.99649,0.99744,0.99366,0.93844,0.42547,0.25621,0.90077,0.00048317,0.00048317,0.00048317
19,338.5,0.43419,0.31774,0.90589,0.99686,0.99744,0.99294,0.94321,0.41196,0.24708,0.89937,0.00048218,0.00048218,0.00048218
20,355.911,0.44113,0.32372,0.91114,0.99696,0.99744,0.99342,0.94666,0.39873,0.24341,0.88848,0.00048119,0.00048119,0.00048119
21,373.525,0.43916,0.31688,0.91128,0.99695,0.99744,0.99358,0.94893,0.39312,0.23443,0.8824,0.0004802,0.0004802,0.0004802
22,390.802,0.4218,0.30965,0.90511,0.99701,0.99744,0.99327,0.95217,0.38005,0.2314,0.87593,0.00047921,0.00047921,0.00047921
23,408.384,0.42612,0.31188,0.90092,0.9971,0.99744,0.99329,0.95357,0.37171,0.22506,0.87486,0.00047822,0.00047822,0.00047822
24,425.615,0.40715,0.30131,0.89451,0.99707,0.99744,0.99309,0.95519,0.36527,0.22413,0.87053,0.00047723,0.00047723,0.00047723
25,443.181,0.40655,0.29302,0.89476,0.99676,0.99744,0.99288,0.95513,0.36568,0.2217,0.87107,0.00047624,0.00047624,0.00047624
26,460.361,0.41536,0.2983,0.89426,0.99687,0.99744,0.99287,0.9597,0.34324,0.21565,0.86319,0.00047525,0.00047525,0.00047525
27,477.982,0.41378,0.29813,0.91062,0.99705,0.99744,0.99283,0.95974,0.34687,0.21497,0.85852,0.00047426,0.00047426,0.00047426
28,495.433,0.39838,0.28871,0.88995,0.99705,0.99744,0.99281,0.95888,0.35175,0.21592,0.8655,0.00047327,0.00047327,0.00047327
29,512.634,0.39179,0.2838,0.89092,0.99714,0.99744,0.99279,0.96349,0.33482,0.20976,0.85836,0.00047228,0.00047228,0.00047228
30,529.943,0.37367,0.27524,0.87646,0.99709,0.99744,0.99288,0.96399,0.33907,0.20709,0.85412,0.00047129,0.00047129,0.00047129
31,547.452,0.38863,0.27998,0.89158,0.99723,0.99744,0.99296,0.96539,0.32188,0.20001,0.84737,0.0004703,0.0004703,0.0004703
32,565.006,0.37055,0.26993,0.87571,0.9972,0.99744,0.99289,0.9657,0.31781,0.19812,0.84602,0.00046931,0.00046931,0.00046931
33,582.649,0.36482,0.27069,0.87437,0.9972,0.99744,0.99267,0.97034,0.3027,0.19436,0.84058,0.00046832,0.00046832,0.00046832
34,600.285,0.36759,0.27006,0.87904,0.99713,0.99744,0.99262,0.96922,0.30419,0.19627,0.84194,0.00046733,0.00046733,0.00046733
35,619.142,0.37251,0.27352,0.88628,0.99716,0.99744,0.9929,0.96878,0.31015,0.19359,0.84487,0.00046634,0.00046634,0.00046634
36,636.428,0.35503,0.26301,0.87523,0.99722,0.99744,0.99307,0.97063,0.29323,0.18528,0.83714,0.00046535,0.00046535,0.00046535
37,653.696,0.35884,0.26034,0.87641,0.99723,0.99744,0.99313,0.97004,0.30317,0.187,0.84277,0.00046436,0.00046436,0.00046436
38,670.771,0.35601,0.25912,0.87619,0.9972,0.99744,0.99302,0.97141,0.30724,0.18732,0.84351,0.00046337,0.00046337,0.00046337
39,687.922,0.35199,0.25701,0.87183,0.99726,0.99744,0.99292,0.97061,0.29836,0.1872,0.83821,0.00046238,0.00046238,0.00046238
40,705.062,0.34723,0.2533,0.86746,0.99727,0.99744,0.99296,0.97271,0.29366,0.1865,0.83806,0.00046139,0.00046139,0.00046139
